location,density,gdp,rate
Anguilla,"","",0.2535575679170000
Afghanistan,54.42199999999917,1803.9869999999796,6.7703549060540000
Algeria,17.34799999999996,13913.838999999818,3.6014285714290000
Argentina,16.176999999999783,18933.906999999817,205.0630498533720000
Angola,23.889999999999713,5819.495000000086,7.7700617283950000
Albania,104.87099999999927,11803.430999999902,7.1371087928460000
Bahamas,39.496999999999645,27717.846999999467,2.2545180722890000
Belarus,46.85800000000016,17167.967000000146,13.0186480186480000
Andorra,163.75500000000196,"",3.3570391872280000
Bangladesh,1265.035999999989,3523.9840000000395,32.0118343195270000
Barbados,664.4629999999921,16978.067999999974,1.9747399702820000
Aruba,584.799999999992,35973.78099999969,1.7526395173450000
Azerbaijan,119.30899999999824,15847.418999999869,10.9563380281690000
Armenia,102.93099999999811,8787.580000000062,6.2329545454550000
Antigua and Barbuda,231.84500000000102,21490.942999999974,0.6695278969960000
Australia,3.202000000000064,44648.7100000007,244.4504881450490000
Austria,106.74900000000004,45436.685999999965,85.2703062583220000
Bahrain,1935.9069999999626,43290.70499999904,11.5437853107340000
Chad,11.83299999999997,1768.1529999999952,0.9551282051280000
Cambodia,90.67200000000037,3645.069999999954,2.1730769230770000
British Virgin Islands,207.97299999999865,"",0.8516819571870000
Belgium,375.5640000000074,42658.57600000019,185.3888888888890000
Bonaire Sint Eustatius and Saba,"","",3.4693877551020000
Benin,99.1100000000005,2064.23600000002,4.8052434456930000
Cayman Islands,256.496000000005,49903.02899999935,3.1011560693640000
Burundi,423.06199999999683,702.224999999989,7.3136645962730000
Bolivia,10.202000000000119,6885.828999999931,34.9275147928990000
Central African Republic,7.479000000000045,661.2399999999934,7.8830409356730000
Bhutan,21.187999999999917,8708.597000000054,3.0105124835740000
Cape Verde,135.5800000000015,6222.55399999991,2.2325227963530000
Brunei,81.34700000000075,71809.25100000048,10.3506311360450000
Canada,4.03699999999993,44017.59099999894,78.5178791615290000
Belize,16.42599999999989,7824.361999999958,2.2308823529410000
Brazil,25.04000000000053,14103.45199999974,405.5776836158190000
Botswana,4.043999999999975,15807.373999999867,56.9534246575340000
Bosnia and Herzegovina,68.49599999999931,11713.894999999746,7.7721893491120000
Cameroon,50.88499999999998,3364.9259999999804,24.7263427109970000
Bulgaria,65.18000000000026,18563.307000000026,18.0218023255810000
